blockNumber,randomValue
8321479,0xb5aa3e09f07fa0d84cca8dd2194a1e13f2c54c1ee00d00e2d2ba33ba854a31f8
8321480,0x8b94068c76bf2214b901c44cfb8502cca03000ff98402de2ada1aa7284fb93b4
8321481,0x54919c3888dde09a60d87d532cc0e0505935323dac9ebf2bbdc05ecb37a974a1
8321482,0x99cfd1d5c136646a3546bcbeaf5e186b3118d2b88a1ea874c28150e537f8555c
8321483,0x8795bfe21e0ace2d4696b7ade823c7bd3dbca34cf2753de440049b0603d6fdbb
8321484,0x6be05d92e6fb8a9cfb8b7fdbed651e0e8733061b51fe5da8f7f283e1f793daeb
8321485,0x6b2e33c33cd6f820946059a11e4056564d6bb82773963013ccfd240c05929f46
8321486,0x2009f050ecbcaa93990a88ce1adf81f050e2631ff58856fe5ad514121d0a7c6e
8321487,0x88a4570ff7589579a2f60ee08dc0ab9c3136f057b7949cdc804ba6b335483dea
8321488,0x3c3f2fb416fbe82b8efdb3f06c736fd047790c7ce18d042eb9147b097e58841b
8321489,0xea6ec1711a35681d4f4454aface2647f0bfb4dac3a9eb4c6350e426540d18584
8321490,0x4b25d51b69501113ef02660c956014d32b758a402f62a24cbcec501421a7aa68
8321491,0x152be49ee5a74393df1fc1570e48dd5440f6420594d7a4ba6652db937a0e533d
8321492,0xe803e35ed07db8a6310d032d8bd0b6002a26c64067928fea638e20bc6478a3cf
8321493,0xe7b476b88893e1c3bb0e932bc050de7834c941f2f7cb5d2cc091b8bb5cb767b6
8321494,0xb947dc298e9a495a7b0a0d26af7b140a578118e023c7c1c33c426ffa7dd87414
8321495,0x3e0182050671bc0386c30b8059b502395a389fd113e6aba939a71a7aca31ed29
8321496,0xbfe5e6ea4f2e022bfdb3663075d60e905b03bc0c84078fc4aab1e58c1e13be8d
8321497,0x2af54316d36b4ffa9c72d32384270fde0d4752049beead06c1581210f7563ad8
8321498,0xbfe4952ad2d015e8d23d72a09d1faf3325f981d4083dc013ad2ef0dc89eeb8c3
8321499,0xcca7cac62fda65070e48253cd92648b43ac95a5064fc18584545cf7748c36b2d
8321500,0xae6156b556ebc8b9f2861324510d48ab5f45ecab4dcf3041e33daeb38e82a9ae
8321501,0xa2a5469be0d8cc73b7be5007156afd9b30fdac4a12f837e35ff43844ab9515d9
8321502,0x246c8e8497f6063cca7427d7e241baf410e733da93add8ff9ee5968666f01d2a
8321503,0x8745555b80c6f8ceb22624544bf16e82c5fab2b27e9398f3c720ac363a4b7d10
8321504,0xe12e9e2958514d5b04bdda41c08068fba9ece78f326dee6acc4c75086ee384a4
8321505,0x78ac9ae94bcf587c8c372881da0f9a376eb410ecc62a086a6922dc7d59b5fd98
8321506,0x0fde1f5bf3ce13762f921093d1d264e6c791769852414eba3f2916d0e4186a5d
8321507,0x95445257e8d9e0007e1e817363cf81e2708300e9856140139611f82f4c57ae82
